Order_ID,Order_Timestamp,Day_Type,Restaurant_Type,Weather,Order_Value,Delivery_Time_Mins,Customer_Rating,Order_Hour
ORD-100000,13/04/2025 13:00,Weekend,Indian,Clear,96.87,35,4,13
ORD-100001,16/03/2025 20:00,Weekend,Indian,Rain,89.35,43,4,20
ORD-100002,21/01/2025 10:00,Weekday,Healthy/Vegan,Rain,15.74,51,2,10
ORD-100003,19/06/2025 21:00,Weekday,Healthy/Vegan,Clear,62.89,29,5,21
ORD-100004,18/04/2025 16:00,Weekday,Healthy/Vegan,Clear,19.88,33,5,16
ORD-100005,14/03/2025 16:00,Weekday,Sushi,Cloudy,116.39,32,4,16
ORD-100006,31/03/2025 14:00,Weekday,Sushi,Rain,61.22,42,5,14
ORD-100007,24/06/2025 12:00,Weekday,Fast Food,Clear,84.56,16,5,12
ORD-100008,23/02/2025 19:00,Weekend,Healthy/Vegan,Clear,116.81,32,4,19
ORD-100009,14/01/2025 17:00,Weekday,Healthy/Vegan,Clear,49.16,30,5,17
ORD-100010,21/04/2025 14:00,Weekday,Sushi,Storm,78.74,45,4,14
ORD-100011,14/02/2025 10:00,Weekday,Fast Food,Storm,96.09,43,4,10
ORD-100012,19/05/2025 12:00,Weekday,Fast Food,Rain,97.97,38,4,12
ORD-100013,10/02/2025 21:00,Weekday,Fast Food,Rain,49.74,46,4,21
ORD-100014,06/02/2025 12:00,Weekday,Healthy/Vegan,Rain,108.16,27,4,12
ORD-100015,11/05/2025 10:00,Weekend,Indian,Clear,95.95,34,5,10
ORD-100016,31/03/2025 19:00,Weekday,Healthy/Vegan,Clear,18.3,21,5,19
ORD-100017,06/04/2025 13:00,Weekend,Indian,Clear,58.09,33,5,13
ORD-100018,12/03/2025 20:00,Weekday,Italian,Clear,112.62,27,4,20
ORD-100019,14/05/2025 21:00,Weekday,Healthy/Vegan,Clear,58.73,25,4,21
ORD-100020,02/04/2025 18:00,Weekday,Fast Food,Clear,83.01,34,4,18
ORD-100021,03/01/2025 16:00,Weekday,Italian,Clear,38.32,33,4,16
ORD-100022,01/06/2025 20:00,Weekend,Fast Food,Clear,21.81,45,5,20
ORD-100023,23/04/2025 14:00,Weekday,Fast Food,Storm,43.01,27,5,14
ORD-100024,28/03/2025 14:00,Weekday,Fast Food,Rain,86.47,45,5,14
ORD-100025,09/06/2025 16:00,Weekday,Healthy/Vegan,Clear,53.81,31,5,16
ORD-100026,24/01/2025 14:00,Weekday,Healthy/Vegan,Storm,56.88,40,4,14
